Fase de Investimento,N.. Transaccoes SCR,"""+/- Valia"" SCR",% SCR,N.. Transaccoes FCR,"""+/- Valia"" FCR",% FCR,N.. Transaccoes Total,"""+/- Valia"" Total",% Total
Seed Capital,0,0,0,0,0,0,0,0,0
Start-up,7,30134.9,0.02006011197,33,1678717.6,0.3631516028,40,1708852.5,0.2790024441
Early-stage,3,-163624.7,-0.1089212111,1,1,0.0000002163267978,4,-163623.7,-0.02671465923
Expansao,4,2174866,1.447758429,19,-1331548.9,-0.2880497096,23,843317.1,0.1376874435
Capital de substituicao,0,0,0,3,1884747.4,0.4077213697,3,1884747.4,0.3077206085
Turnaround,0,0,0,7,-11381.3,-0.002462080184,7,-11381.3,-0.001858212173
Refin. Divida bancaria,0,0,0,0,0,0,0,0,0
Management buy out,0,0,0,1,0,0,1,0,0
Management buy in,0,0,0,1,2402100,0.519638601,1,2402100,0.3921881912
Outros,3,-539146.3,-0.3588973299,0,0,0,3,-539146.3,-0.08802581582
Total,17,1502229.9,1,65,4622635.8,1,82,6124865.7,1