,SCR,VAR 2011/2010 (%),FCR,VAR 2011/2010 (%),Total,var 2011/2010 (%)
Valor dos Investimentos,678.1,0.7,1612.2,13.4,2290.3,9.3
Participacoes em capital social (cotadas),15,-10.6,33.6,-5.5,48.6,-7.1
Em Empresas Residentes,10,-2.6,32.5,-12.1,42.5,-10
Em Empresas Nao residentes,5,-23.1,1.1,-82.1,6.1,-51.6
Participacoes em capital social (nao cotadas),491.7,-11.3,692.6,-9.2,1184.3,-10.1
Em Empresas Residentes,43.2,-5.4,547.9,-7.2,591.1,-7
Em Empresas Nao residentes,448.5,-11.8,144.7,-12.4,593.2,-12
Outros Investimentos (1),80.7,215.3,871.8,41.4,952.5,48.4
Em Empresas Residentes,17.4,15.5,852.4,43.1,869.8,42.4
Em Empresas Nao residentes,63.3,502.5,19.4,-6.9,82.7,164.6
Investimento em UP de FCR,90.7,18.7,14.2,107.7,104.9,26
Depositos e Outros Meios Liquidos afectos a CR,74,5,176.8,-6.6,250.8,-3.5
Capital Subscrito e nao Realizado,na,na,0,,0,
Outros (2),2.6,na,98.6,,101.2,
Total,754.7,1.5,1887.6,17.4,2642.3,12.4