Sectores de Actividade,N.. Partic. (1) SCR,Valor SCR,% SCR,N.. Partic. (1) FCR,Valor FCR,% FCR,N.. Partic. (1) Total,Valor Total,% Total
"Agricultua, producao animal, caca e pesca",4,0.8,0.001179941003,8,24.7,0.01532163017,12,25.5,0.01113488494
Industrias extractivas,0,0,0,0,0,0,0,0,0
Industrias transformadoras,29,34.8,0.05132743363,214,392.5,0.2434712487,243,427.3,0.1865857386
"Electricidade, gas, vapor, agua quente e fria e ar frio",2,0.2,0.0002949852507,17,114.2,0.07083927796,19,114.4,0.04995415047
"Captacao, tratamento e distribuicao de agua; saneamento, gestao de residuos e despoluicao",4,277,0.4085545723,6,51.6,0.03200793995,10,328.6,0.143487184
Construcao,1,10,0.01474926254,18,89.9,0.05576577135,19,99.9,0.04362254923
Comercio por grosso e a retalho; reparacao de veiculos automoveis e motociclos,9,2.6,0.00383480826,78,32.2,0.01997394703,87,34.8,0.01519584298
Transportes e armazenagem,1,213.7,0.3151917404,6,8.7,0.00539668755,7,222.4,0.09711366316
"Alojamento, restauracao e similares",11,4.1,0.00604719764,43,68.2,0.04230506792,54,72.3,0.03157067377
Actividades de informacao e de comunicacao,15,1.2,0.001769911504,124,79,0.04900440419,139,80.2,0.03502030479
Actividades financeiras e de seguros,38,91.4,0.1348082596,19,81,0.05024502202,57,172.4,0.07528055543
SGPS - nao financeiras,22,27.2,0.0401179941,156,383.5,0.2378884685,178,410.7,0.1793371468
Actividades imobiliarias,10,7.2,0.01061946903,8,30.7,0.01904348365,18,37.9,0.01654949566
"Actividades de consultadoria, cientificas, tecnicas e similares",27,4.6,0.006784660767,161,139.8,0.08671918615,188,144.4,0.06305401511
Actividades administrativas e dos servicos de apoio,14,1.4,0.002064896755,44,97.7,0.06060418088,58,99.1,0.04327321951
Administracao Publica e Defesa; Seguranca Social Obrigatoria,0,0,0,0,0,0,0,0,0
Educacao,2,0.2,0.0002949852507,1,0,0,3,0.2,0.0000873324309
Actividades de saude humana e apoio social,1,0.6,0.0008849557522,9,15.7,0.009738849947,10,16.3,0.007117593118
"Actividades artisticas, de espetaculos, desportivas e recreativas",4,1,0.001474926254,18,2.1,0.001302648719,22,3.1,0.001353652679
Outras actividades de servicos,0,0,0,2,0.6,0.0003721853483,2,0.6,0.0002619972927
Actividades das familias empregadoras de pessoal domestico e actividades de producao das familias para uso proprio,0,0,0,0,0,0,0,0,0
Actividades dos organismos internacionais e outras instituicoes extra-territoriais,0,0,0,0,0,0,0,0,0
Total,194,678,1,932,1612.1,1,1126,2290.1,1