Fases de Investimento,N.. Partic. (1) SCR,Valor SCR,% SCR,N.. Partic. (1) FCR,Valor FCR,% FCR,N.. Partic. (1) Total,Valor Total,% Total
Venture Capital,70,36.5,0.05381893247,433,300.7,0.1865153207,503,337.2,0.1472231925
Seed Capital,3,0.1,0.0001474491301,28,11.1,0.006885001861,31,11.2,0.00488997555
Start-up,41,34.1,0.05028015335,348,236.4,0.1466319315,389,270.5,0.1181016416
Early stage,26,2.3,0.003391329991,57,53.2,0.0329983873,83,55.5,0.02423157527
Private Equity,124,641.7,0.9461810675,499,1311.5,0.8134846793,623,1953.2,0.8527768075
Expansao,45,526.8,0.7767620171,230,278.6,0.172807344,275,805.4,0.3516416346
Capital de substituicao,16,19.3,0.0284576821,36,213.9,0.1326758467,52,233.2,0.1018162766
Turnaorund ,6,0,0,94,399.8,0.2479841211,100,399.8,0.1745546629
Refinanciamento da divida Bancaria,0,0,0,34,69.5,0.04310879543,34,69.5,#REF!
Mangement buy-out,17,22.6,0.03332350339,62,182.2,0.04310879543,79,204.8,0.08941669577
Mamagement buy-in,0,0,0,11,55.1,0.03417690113,11,55.1,0.02405693329
Outros Total,40,73,0.1076378649,32,112.4,0.06971839722,72,185.4,0.00488997555
Total,194,678.2,1,932,1612.2,1,1126,2290.4,1